variable;categorie
latitude;coor
longitude;coor
iqs_pot_sab;iqs
iqs_pot_epn;iqs
iqs_pot_epb;iqs
iqs_pot_pib;iqs
iqs_pot_bop;iqs
iqs_pot_pex;iqs
iqs_pot_pig;iqs
iqs_pot_tho;iqs
p_tot;clim
t_ma;clim
prec_gs;clim
temp_gs;clim
cec;sol
oc;sol
ph;sol
sand;sol
silt;sol
clay;sol
essence;arbre
dhpcm;arbre
tige_ha;arbre
etat;arbre
id_pe;etude
etage;etude
essence;etude
dhpcm;etude
hauteur;etude
id_pe;plot
sdom_bio;plot
altitude;plot
type_eco;plot
temps;plot
origine;plot
an_mes;plot
vol_dm3;vol
hauteur_pred;ht
nbop;dendro
npeu;dendro
nft;dendro
nepn;dendro
nepx;dendro
nsab;dendro
nri;dendro
nrt;dendro
stbop;dendro
stpeu;dendro
stft;dendro
stepn;dendro
stepx;dendro
stsab;dendro
stri;dendro
strt;dendro
vbop;dendro
vpeu;dendro
vft;dendro
vepn;dendro
vepx;dendro
vsab;dendro
vri;dendro
vrt;dendro
hd;dendro
is;dendro
