essence;ID_PE;TIGE_HA;dhpcm;ETAT;LATITUDE;LONGITUDE;SDOM_BIO;REG_ECO;type_eco;ALTITUDE;ORIGINE;an_mes;temps
EPN;0319801702;425;10;10;48.041519;-69.837749;4E;4d;RE20;271;BR;2003;50
EPN;0319801702;450;12;10;48.041519;-69.837749;4E;4d;RE20;271;BR;2003;50
EPN;0319801702;125;14;10;48.041519;-69.837749;4E;4d;RE20;271;BR;2003;50
EPN;0319801702;200;16;10;48.041519;-69.837749;4E;4d;RE20;271;BR;2003;50
EPN;0319801702;25;18;10;48.041519;-69.837749;4E;4d;RE20;271;BR;2003;50
SAB;0319801702;50;18;10;48.041519;-69.837749;4E;4d;RE20;271;BR;2003;50
BOP;0400102903;125;10;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
BOP;0400102903;50;16;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPB;0400102903;25;10;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPB;0400102903;25;12;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPN;0400102903;50;10;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPN;0400102903;50;12;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPN;0400102903;100;14;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPN;0400102903;50;16;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPN;0400102903;25;18;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPN;0400102903;25;20;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPN;0400102903;75;22;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
EPN;0400102903;25;24;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
PET;0400102903;25;14;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
PET;0400102903;25;16;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
PET;0400102903;50;18;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
PET;0400102903;50;20;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
PET;0400102903;25;22;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
PET;0400102903;25;26;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
SAB;0400102903;100;10;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
SAB;0400102903;50;12;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
SAB;0400102903;50;14;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
SAB;0400102903;25;18;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
SAB;0400102903;25;24;10;49.141933;-69.215628;5E;5g;RS25;381;BR;2004;50
